Student No.,Hours spent studying in a day,Mathematics score,English score,Science score
217,23,92,82.8,73.6
218,12,48,43.2,38.4
219,20,80,72,64
220,13,52,46.8,41.6
221,22,88,79.2,70.4
222,5,20,18,16
223,21,84,75.6,67.2
224,0,0,0,0
225,21,84,75.6,67.2
226,20,80,72,64
227,6,24,21.6,19.2
228,21,84,75.6,67.2
229,15,60,54,48
230,18,72,64.8,57.6
231,20,80,72,64
232,7,28,25.2,22.4
233,12,48,43.2,38.4
234,12,48,43.2,38.4
235,4,16,14.4,12.8
236,19,76,68.4,60.8
237,0,0,0,0
238,12,48,43.2,38.4
239,0,0,0,0
240,16,64,57.6,51.2
241,14,56,50.4,44.8
242,16,64,57.6,51.2
243,0,0,0,0
244,20,80,72,64
245,12,48,43.2,38.4
246,15,60,54,48
247,1,4,3.6,3.2
248,9,36,32.4,28.8
249,18,72,64.8,57.6
250,1,4,3.6,3.2
251,6,24,21.6,19.2
252,24,96,86.4,76.8
253,13,52,46.8,41.6
254,1,4,3.6,3.2
255,24,96,86.4,76.8
256,6,24,21.6,19.2
257,13,52,46.8,41.6
258,20,80,72,64
259,14,56,50.4,44.8
260,13,52,46.8,41.6
261,2,8,7.2,6.4
262,7,28,25.2,22.4
263,17,68,61.2,54.4
264,5,20,18,16
265,40,80,144,128
266,16,64,57.6,51.2
267,14,56,-15,44.8
